Local time,Open,High,Low,Close,Volume
08.07.2003 17:00:00.000 GMT-0400,1.13177,1.13667,1.13047,1.13481,1055878898437.5
09.07.2003 17:00:00.000 GMT-0400,1.13479,1.13924,1.13098,1.13891,1067748892578.125
10.07.2003 17:00:00.000 GMT-0400,1.13877,1.13908,1.12759,1.12990,1058106498046.875
11.07.2003 17:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
12.07.2003 17:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
13.07.2003 17:00:00.000 GMT-0400,1.12934,1.13080,1.12426,1.12779,1046253197265.625
14.07.2003 17:00:00.000 GMT-0400,1.12777,1.13369,1.11560,1.11858,1051978605468.75
15.07.2003 17:00:00.000 GMT-0400,1.11845,1.12315,1.11123,1.12068,1059577289062.5
16.07.2003 17:00:00.000 GMT-0400,1.12119,1.12488,1.11562,1.12079,1062920197265.625
17.07.2003 17:00:00.000 GMT-0400,1.12045,1.13032,1.11717,1.12746,1057879294921.875
18.07.2003 17:00:00.000 GMT-0400,1.12746,1.12746,1.12746,1.12746,0
19.07.2003 17:00:00.000 GMT-0400,1.12746,1.12746,1.12746,1.12746,0
20.07.2003 17:00:00.000 GMT-0400,1.12685,1.13546,1.12411,1.13495,1060451289062.5
21.07.2003 17:00:00.000 GMT-0400,1.13461,1.13734,1.13058,1.13315,1038043902343.75
22.07.2003 17:00:00.000 GMT-0400,1.13267,1.14898,1.13139,1.14754,1067668386718.75
23.07.2003 17:00:00.000 GMT-0400,1.14835,1.15101,1.14233,1.14695,1054340189453.125
24.07.2003 17:00:00.000 GMT-0400,1.14749,1.15487,1.14439,1.15079,1056015994140.625
25.07.2003 17:00:00.000 GMT-0400,1.15079,1.15079,1.15079,1.15079,0
26.07.2003 17:00:00.000 GMT-0400,1.15079,1.15079,1.15079,1.15079,0
27.07.2003 17:00:00.000 GMT-0400,1.15084,1.15182,1.14515,1.14909,1055906691406.25
28.07.2003 17:00:00.000 GMT-0400,1.14947,1.15380,1.14510,1.14589,1053724789062.5
29.07.2003 17:00:00.000 GMT-0400,1.14572,1.14610,1.13352,1.13426,1058029093750
30.07.2003 17:00:00.000 GMT-0400,1.13437,1.13713,1.12237,1.12428,1063307111328.125
31.07.2003 17:00:00.000 GMT-0400,1.12420,1.12716,1.11348,1.12541,1004982800781.25
01.08.2003 17:00:00.000 GMT-0400,1.12541,1.12541,1.12541,1.12541,0
02.08.2003 17:00:00.000 GMT-0400,1.12541,1.12541,1.12541,1.12541,0
03.08.2003 17:00:00.000 GMT-0400,1.12843,1.13749,1.12581,1.13570,1054486103515.625
04.08.2003 17:00:00.000 GMT-0400,1.13613,1.13976,1.13064,1.13893,1056417992187.5
05.08.2003 17:00:00.000 GMT-0400,1.13867,1.14265,1.13254,1.13321,1061051796875
06.08.2003 17:00:00.000 GMT-0400,1.13315,1.14150,1.13183,1.13732,1050575406250
07.08.2003 17:00:00.000 GMT-0400,1.13716,1.13838,1.12866,1.13083,1059284384765.625
08.08.2003 17:00:00.000 GMT-0400,1.13083,1.13083,1.13083,1.13083,0
09.08.2003 17:00:00.000 GMT-0400,1.13083,1.13083,1.13083,1.13083,0
10.08.2003 17:00:00.000 GMT-0400,1.12898,1.13798,1.12628,1.13582,1035460509765.625
11.08.2003 17:00:00.000 GMT-0400,1.13588,1.13715,1.12758,1.12830,1107321097656.25
12.08.2003 17:00:00.000 GMT-0400,1.12837,1.13322,1.12189,1.13220,1116413904296.875
13.08.2003 17:00:00.000 GMT-0400,1.13233,1.13375,1.12244,1.12577,1101308992187.5
14.08.2003 17:00:00.000 GMT-0400,1.12635,1.12963,1.12403,1.12663,1080366802246.0938
15.08.2003 17:00:00.000 GMT-0400,1.12663,1.12663,1.12663,1.12663,0
16.08.2003 17:00:00.000 GMT-0400,1.12663,1.12663,1.12663,1.12663,0
17.08.2003 17:00:00.000 GMT-0400,1.12490,1.12690,1.11233,1.11428,1097634595703.125
18.08.2003 17:00:00.000 GMT-0400,1.11485,1.11522,1.10545,1.11392,1106510308593.75
19.08.2003 17:00:00.000 GMT-0400,1.11380,1.11475,1.10793,1.11185,1114916591796.875
20.08.2003 17:00:00.000 GMT-0400,1.11193,1.11226,1.08846,1.09226,1113616201171.875
21.08.2003 17:00:00.000 GMT-0400,1.09203,1.09456,1.08363,1.08761,1123218503906.25
22.08.2003 17:00:00.000 GMT-0400,1.08761,1.08761,1.08761,1.08761,0
23.08.2003 17:00:00.000 GMT-0400,1.08761,1.08761,1.08761,1.08761,0
24.08.2003 17:00:00.000 GMT-0400,1.08566,1.09184,1.08453,1.08735,1109039615234.375
25.08.2003 17:00:00.000 GMT-0400,1.08740,1.09096,1.07930,1.08542,1116225597656.25
26.08.2003 17:00:00.000 GMT-0400,1.08544,1.09298,1.08313,1.08860,1119904705078.125
27.08.2003 17:00:00.000 GMT-0400,1.08856,1.09125,1.08097,1.08811,1117669996093.75
28.08.2003 17:00:00.000 GMT-0400,1.08843,1.09974,1.08688,1.09847,1116347992187.5
29.08.2003 17:00:00.000 GMT-0400,1.09847,1.09847,1.09847,1.09847,0
30.08.2003 17:00:00.000 GMT-0400,1.09847,1.09847,1.09847,1.09847,0
31.08.2003 17:00:00.000 GMT-0400,1.09943,1.10138,1.09517,1.09675,999536701171.875
01.09.2003 17:00:00.000 GMT-0400,1.09668,1.09713,1.08029,1.08079,1102031301757.8125
02.09.2003 17:00:00.000 GMT-0400,1.08117,1.08725,1.07616,1.08474,1130431302734.375
03.09.2003 17:00:00.000 GMT-0400,1.08495,1.09505,1.08064,1.09430,1116838695312.5
04.09.2003 17:00:00.000 GMT-0400,1.09444,1.11126,1.09159,1.11049,1103964597656.25
05.09.2003 17:00:00.000 GMT-0400,1.11049,1.11049,1.11049,1.11049,0
06.09.2003 17:00:00.000 GMT-0400,1.11049,1.11049,1.11049,1.11049,0
07.09.2003 17:00:00.000 GMT-0400,1.11043,1.11297,1.10461,1.10649,1124964699218.75
08.09.2003 17:00:00.000 GMT-0400,1.10695,1.12402,1.10524,1.12238,1126577599609.375
09.09.2003 17:00:00.000 GMT-0400,1.12239,1.12362,1.11620,1.12076,1119462601562.5
10.09.2003 17:00:00.000 GMT-0400,1.12102,1.12705,1.11547,1.12089,1108887191406.25
11.09.2003 17:00:00.000 GMT-0400,1.12094,1.13228,1.11346,1.12913,1123757892578.125
12.09.2003 17:00:00.000 GMT-0400,1.12913,1.12913,1.12913,1.12913,0
13.09.2003 17:00:00.000 GMT-0400,1.12913,1.12913,1.12913,1.12913,0
